set_names,set_codes,total_cards,release_date
2-Player Starter Deck: Yuya & Declan,YS15,42,2015-05-28
2013 Collectible Tins Wave 1,CT10,9,2013-08-30
2013 Collectible Tins Wave 2,CT10,9,2013-11-22
2014 Mega-Tin Mega Pack,MP14,247,2014-08-28
2014 Mega-Tins,CT11,6,2014-08-28
2015 Mega-Tin Mega Pack,MP15,247,2015-09-17
2015 Mega-Tins,CT12,6,2015-09-17
2016 Mega-Tin Mega Pack,MP16,239,2016-09-01
2016 Mega-Tins,CT13,12,2016-09-01
2017 Mega-Tin Mega Pack,MP17,239,2017-08-24
2017 Mega-Tins,CT14,8,2017-08-24
2018 Mega-Tin Mega Pack,MP18,233,2018-08-30
2018 Mega-Tins,CT15,10,2018-08-30
2019 Gold Sarcophagus Tin,TN19,14,2019-08-29
2019 Gold Sarcophagus Tin Mega Pack,MP19,270,2019-08-29
2020 Tin of Lost Memories,MP20,6,2020-08-27
2020 Tin of Lost Memories Mega Pack,MP20,246,2020-08-27
2021 Tin of Ancient Battles,MP21,258,2021-09-30
Absolute Powerforce,ABPF,100,2010-02-12
Absolute Powerforce Sneak Peek Participation Card,ABPF,1,2010-02-06
Absolute Powerforce: Special Edition,ABPF,2,2010-03-26
Abyss Rising,ABYR,100,2012-11-09
Abyss Rising Sneak Peek Participation Card,ABYR,1,2012-11-03
Abyss Rising: Special Edition,ABYR,2,2012-12-05
Advanced Demo Deck Extra Pack,DEM4,10,2018-01-06
Ancient Guardians,ANGU,60,2021-04-29
Ancient Prophecy,ANPR,100,2009-09-01
Ancient Prophecy Sneak Peek Participation Card,ANPR,1,2009-08-15
Ancient Prophecy: Special Edition,ANPR,2,2009-10-09
Ancient Sanctuary,AST,112,2004-06-01
Anniversary Pack,YAP1,8,2008-12-08
Astral Pack Eight,AP08,27,2015-10-23
Astral Pack Five,AP05,26,2014-07-25
Astral Pack Four,AP04,26,2014-02-07
Astral Pack One,AP01,25,2012-11-23
Astral Pack Seven,AP07,27,2015-06-04
Astral Pack Six,AP06,28,2014-12-05
Astral Pack Three,AP03,26,2013-09-13
Astral Pack Two,AP02,25,2013-04-19
Battle of Chaos,BACH,88,2022-02-10
Battle Pack 2: War of the Giants,BP02,215,2013-06-28
Battle Pack 3: Monster League,BP03,237,2014-07-31
